Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
6,450,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.219,0.913,0.293,0.157,83.80%,0,0.0000
6,450,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.072,0.347,0.301,-0.170,13.94%,0,0.0000
6,450,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.275,0.780,0.308,0.380,67.84%,0,0.0000
7,540,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.234,0.916,0.329,0.229,89.97%,0,0.0000
7,540,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.565,0.918,0.323,0.664,89.90%,0,0.0000
7,540,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.003,0.429,0.254,-0.120,6.39%,1,0.0000
7,540,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.601,0.913,0.311,0.900,88.36%,0,0.0000
7,540,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.258,0.913,0.293,0.163,87.26%,0,0.0000
7,540,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.076,0.343,0.301,-0.171,10.91%,0,0.0000
7,540,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.213,0.783,0.308,0.392,77.19%,0,0.0000
8,630,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.175,0.916,0.329,0.209,85.69%,0,0.0000
8,630,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.566,0.918,0.323,0.672,87.80%,0,0.0000
8,630,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.005,0.460,0.254,-0.111,7.69%,1,0.0000
8,630,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.611,0.913,0.311,0.929,90.53%,0,0.0000
8,630,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.228,0.913,0.293,0.159,88.77%,0,0.0000
8,630,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.078,0.348,0.301,-0.171,12.12%,0,0.0000
8,630,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.196,0.782,0.308,0.395,76.02%,0,0.0000
9,720,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.230,0.916,0.329,0.221,87.99%,0,0.0000
9,720,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.563,0.918,0.323,0.646,89.55%,0,0.0000
9,720,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.021,0.381,0.254,-0.122,5.48%,1,0.0000
9,720,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.602,0.913,0.311,0.883,88.36%,0,0.0000
9,720,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.305,0.913,0.293,0.158,84.67%,0,0.0000
9,720,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.087,0.348,0.301,-0.163,13.94%,0,0.0000
9,720,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.201,0.781,0.308,0.388,76.61%,0,0.0000
10,810,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.189,0.916,0.329,0.210,87.50%,0,0.0000
10,810,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.565,0.919,0.323,0.646,90.77%,0,0.0000
